Tree_No,Species,DBH_cm,Height_m,Volume_Reference,Volume_Calculated
172,Fagus sylvatica,25.3,23.8,0.562348755943589,0.56357984263
173,Fagus sylvatica,45.5,30.3,2.31554465708434,2.49777843245
174,Fagus sylvatica,24.4,25.0,0.549423714408358,0.54776834272
175,Fagus sylvatica,62.3,33.4,4.7853124474447,5.74747485109
176,Fagus sylvatica,24.2,26.5,0.572880902903248,0.57068282104
177,Fagus sylvatica,38.6,26.6999999999999,1.4684988474725,1.5652462623199965
178,Pinus sylvestris,40.0,31.0,1.83092019851213,1.6867084351894535
179,Fagus sylvatica,19.8,19.1999999999999,0.277855724370849,0.2855471024799987
180,Fagus sylvatica,45.1,30.6,2.29753560050514,2.4591554328900003
181,Fagus sylvatica,9.5,6.8,0.0226539460852197,0.039183560049999996
182,Pinus sylvestris,34.7,27.3,1.21341493467465,1.1393248999164847
183,Fagus sylvatica,48.4,26.0,2.24828731705425,2.70543665632
184,Pinus sylvestris,38.5,24.8999999999999,1.36241226733247,1.286415858075448
185,Fagus sylvatica,37.1,32.7,1.66143483191924,1.6499537677700005
186,Picea Abies,44.3,32.6,2.36163508307107,1.6253372886951998
187,Picea Abies,18.4,14.9,0.186212852860548,0.13643980042239998
188,Fagus sylvatica,37.4,25.6,1.32181570935269,1.4163520093600002
189,Fagus sylvatica,46.6,26.4,2.1162330836657,2.47191770424
190,Picea Abies,24.1,26.8999999999999,0.576732073737733,0.44078746891659815
191,Picea Abies,31.6,27.9,1.02840956630228,0.7528204434815998
192,Pinus sylvestris,41.1,29.0,1.80829541426072,1.6758371343746723
193,Fagus sylvatica,47.8,30.6,2.58086304465473,2.83120989384
194,Fagus sylvatica,29.1,26.6,0.831486790036991,0.8288074120900002
195,Fagus sylvatica,19.0,15.4,0.205218099830813,0.22116640840000001
196,Fagus sylvatica,34.1,26.8999999999999,1.15464579236407,1.180722502389997
197,Fagus sylvatica,43.2,32.0,2.20447516856212,2.2839492534400003
198,Fagus sylvatica,34.8,26.4,1.18018517270649,1.2205155030399997
199,Fagus sylvatica,47.5,31.6,2.63185550107699,2.8380753422500002
200,Fagus sylvatica,32.2,26.8999999999999,1.0295602405851,1.0394241541599973
201,Fagus sylvatica,28.4,26.8,0.797919747466938,0.7928650556799999
202,Fagus sylvatica,17.8,8.9,0.104092095276202,0.14569807864
203,Fagus sylvatica,27.4,24.6999999999999,0.684519490149265,0.6864488792799976
204,Betula pendula,47.1,32.5,2.66141692583452,2.1606076898124003
205,Fagus sylvatica,21.3,24.1999999999999,0.405286662775882,0.4091158102299982
206,Pinus sylvestris,46.7,33.7999999999999,2.72106051710845,2.46879653129417
207,Pinus sylvestris,45.0,33.7,2.51908410578557,2.289614037866113
208,Fagus sylvatica,30.8,26.3999999999999,0.924470589110417,0.9298356502399974
209,Fagus sylvatica,25.1,25.3999999999999,0.590702622385513,0.5879945476899979
210,Fagus sylvatica,21.9,25.6999999999999,0.45499758580032,0.45869097072999804
211,Betula pendula,38.2,31.3,1.68600478431301,1.4311721810392004
212,Fagus sylvatica,31.5,28.0,1.02557370716255,1.02298128625
213,Fagus sylvatica,36.3,27.3,1.32789469663517,1.37510462593
214,Fagus sylvatica,30.1,28.5,0.953159521331417,0.9437504418300002
215,Fagus sylvatica,16.6,14.0,0.142407201182017,0.15690404968000005
216,Fagus sylvatica,26.3,27.5,0.702153281915193,0.6954577470100001
217,Fagus sylvatica,22.3,28.8999999999999,0.530512117529696,0.5402886502899978
218,Fagus sylvatica,32.5,28.1999999999999,1.09952110409137,1.100323881749997
219,Fagus sylvatica,16.5,19.8999999999999,0.199990195130928,0.21099515214999887
220,Fagus sylvatica,12.3,15.5,0.0865624740102814,0.10074719761
221,Fagus sylvatica,52.5,31.3999999999999,3.19474349255,3.6182476277499944
222,Fagus sylvatica,19.8,24.5,0.354555481619053,0.36332359336
223,Fagus sylvatica,16.4,16.1999999999999,0.160838661386844,0.17164318687999908
224,Fagus sylvatica,31.4,26.3,0.957200207171936,0.96690504088
225,Fagus sylvatica,32.1,28.5,1.08403340181136,1.0806150076300003
226,Fagus sylvatica,29.5,27.3,0.876989549701945,0.8718833140500002
227,Fagus sylvatica,32.1,29.8,1.13348053943784,1.1218762962700004
228,Fagus sylvatica,32.8,29.3999999999999,1.16756954191932,1.1608866998399965
229,Fagus sylvatica,45.7,30.6999999999999,2.36678340180426,2.5432969974699957
230,Fagus sylvatica,36.5,28.1,1.38191009089808,1.4200379381500001
231,Fagus sylvatica,47.2,28.6,2.35200244948636,2.6504265193600007
232,Fagus sylvatica,38.4,28.8999999999999,1.57306993509741,1.625744253759996
233,Fagus sylvatica,40.3,28.6,1.7146041269509,1.80709391689
234,Fagus sylvatica,17.4,19.5,0.217931921096369,0.22699918791999996
235,Fagus sylvatica,41.8,32.6,2.1026060171237,2.14425144184
236,Fagus sylvatica,10.4,7.8,0.0311421807184347,0.047501391680000005
237,Fagus sylvatica,47.7,30.3,2.54487892902665,2.8019614656700003
238,Fagus sylvatica,40.5,30.1,1.82248633777917,1.88878840255
239,Fagus sylvatica,58.4,31.8,4.00350664341035,4.76768315168
240,Fagus sylvatica,14.3,19.6,0.147950312083012,0.16382137429000004
241,Fagus sylvatica,33.9,30.6,1.29810123227345,1.2875268276099998
242,Fagus sylvatica,45.7,31.6,2.43616793149885,2.5867552845100006
243,Fagus sylvatica,17.8,10.8,0.126314003256514,0.15699774648
244,Fagus sylvatica,55.7,33.2,3.80221099479514,4.310831954470001
245,Fagus sylvatica,23.5,26.3999999999999,0.538179797221526,0.537742763849998
246,Fagus sylvatica,29.6,28.0,0.905584942572478,0.8975130908800001
247,Fagus sylvatica,35.8,30.8999999999999,1.46188184281313,1.459290545039996
248,Fagus sylvatica,26.6,27.8,0.726098949583205,0.7186461839200001
249,Fagus sylvatica,42.0,27.8999999999999,1.81673056697366,1.965143051199996
250,Pinus sylvestris,42.1,32.7,2.13943789310016,1.955888410548247
251,Fagus sylvatica,32.4,26.6,1.03076436592533,1.04484622816
252,Fagus sylvatica,47.6,31.5,2.63458490106646,2.8474472700800004
253,Fagus sylvatica,26.6,26.0,0.679085348531055,0.6749581736800001
254,Betula pendula,30.4,30.6,1.04389383560692,0.9159471538016001
255,Fagus sylvatica,47.7,31.7,2.66246409406418,2.8721819712700003
256,Betula pendula,61.8,32.6,4.59602401778779,3.4341010633648
257,Fagus sylvatica,29.2,31.1,0.978844784670299,0.9633945097600001
258,Pinus sylvestris,44.5,31.3999999999999,2.29528917954545,2.102760417206886
259,Fagus sylvatica,67.3,33.0,5.51736616966386,6.99836582811
260,Fagus sylvatica,21.2,26.6,0.441307286066798,0.44940826336
261,Pinus sylvestris,51.2,33.8999999999999,3.2804042014488,2.9645549858815943
262,Fagus sylvatica,29.0,29.1,0.903393006254178,0.8913289004
263,Fagus sylvatica,54.3,32.0,3.4828709007168,3.97335889381
264,Pinus sylvestris,44.3,35.3999999999999,2.56447490615692,2.320229382169304
265,Fagus sylvatica,44.0,30.3999999999999,2.17253447038936,2.3092488783999956
266,Pinus sylvestris,38.8,31.3999999999999,1.74494136722883,1.6072617657306527
267,Fagus sylvatica,14.2,17.8,0.132490405829398,0.14580992392
268,Fagus sylvatica,22.9,25.8,0.499434351241634,0.5002421886299999
269,Fagus sylvatica,40.3,30.4,1.82251627480096,1.87968034249
270,Fagus sylvatica,18.5,24.6,0.310789475269014,0.32468850035
271,Fagus sylvatica,21.0,26.1999999999999,0.426508430597758,0.43445610039999816
272,Fagus sylvatica,21.2,19.5,0.32351473978581,0.33172329823999996
273,Fagus sylvatica,17.9,21.3,0.251926239902264,0.26131845833
274,Pinus sylvestris,46.9,30.1999999999999,2.45211236715822,2.2510096056250473
275,Fagus sylvatica,37.6,29.8999999999999,1.56039524236835,1.5866489910399961
276,Fagus sylvatica,10.0,11.4,0.0420816335948353,0.056460216
277,Fagus sylvatica,32.3,29.0,1.11683954200133,1.11083389561
278,Fagus sylvatica,19.5,24.6999999999999,0.346700058779448,0.35698006104999835
279,Betula pendula,38.4,26.0,1.41521862673124,1.2103725305536002
280,Fagus sylvatica,24.8,29.3999999999999,0.66748026756958,0.6663595702399976
281,Fagus sylvatica,35.9,28.8,1.37015318383224,1.39183684973
282,Fagus sylvatica,19.0,25.6999999999999,0.342474361405966,0.3575802675999984
283,Fagus sylvatica,20.7,26.6999999999999,0.422318096561982,0.4328819787699981
284,Carpinus betulus,14.1,13.0,0.0954046004165435,
285,Fagus sylvatica,18.7,23.3,0.300764707303883,0.31090084177
286,Fagus sylvatica,12.0,15.0,0.0797336215481089,0.09391924
287,Fagus sylvatica,35.4,27.8,1.28599434628821,1.31492366968
288,Carpinus betulus,20.8,25.3999999999999,0.405646866793969,
289,Fagus sylvatica,15.9,22.5,0.209973508995598,0.22779695557000001
290,Fagus sylvatica,16.8,25.8999999999999,0.269839837617879,0.29600648223999854
291,Fagus sylvatica,34.1,28.3999999999999,1.21903124546987,1.2286954735899969
292,Fagus sylvatica,21.8,29.1,0.510497612713717,0.5237615362400001
293,Fagus sylvatica,26.2,28.8,0.729764629006452,0.7228047511200001
294,Fagus sylvatica,22.3,25.9,0.475441655502394,0.47811125508999996
295,Fagus sylvatica,15.6,17.8,0.159903120227348,0.17090377312
296,Fagus sylvatica,17.6,21.9,0.250413183692247,0.26140760864
297,Betula pendula,52.0,31.2,3.11421807184347,2.4590561984000003
298,Fagus sylvatica,10.0,15.9,0.0586928047506913,0.077295576
299,Fagus sylvatica,10.0,28.8,0.106311495397479,0.175092024
300,Fagus sylvatica,58.5,28.7,3.62561235557618,4.60261786915
301,Betula pendula,26.0,3.7,0.0923285806556158,0.14115216420000004
302,Betula pendula,38.3,32.2999999999999,1.74899194594462,1.4820246713287955
303,Fagus sylvatica,29.4,22.3999999999999,0.714710921258166,0.7442900029599977
304,Fagus sylvatica,11.5,27.6,0.1347387463022,0.19280074665000002
305,Fagus sylvatica,11.7,20.2,0.10207298896535,0.12671556606999998
306,Pinus sylvestris,43.9,28.8,2.04884577044975,1.8952103048557956
307,Fagus sylvatica,29.0,29.0,0.900288562933717,0.8884713100000001
308,Fagus sylvatica,35.8,30.0,1.41930276001275,1.4260116669599998
309,Fagus sylvatica,18.3,24.3,0.30039741585277,0.31425761053
310,Fagus sylvatica,39.0,28.3999999999999,1.59453954159293,1.6660568163999963
311,Pinus sylvestris,34.2,31.6,1.36435389175831,1.262142527425963
312,Fagus sylvatica,30.6,26.1,0.902134100962846,0.9086494002400001
